aluno_id,ano,aulas_registradas,aulas_presente,taxa_presenca,aprovado,cidade,escola_origem
A00001,2023,76,65,0.8553,1,Fortaleza,Não informado
A00001,2024,58,52,0.8966,1,Fortaleza,Não informado
A00002,2025,67,61,0.9104,0,Crato,Federal
A00003,2022,88,78,0.8864,0,Horizonte,Privada
A00004,2021,68,58,0.8529,0,Juazeiro do Norte,Pública
A00005,2022,106,95,0.8962,0,Caucaia,Não informado
A00006,2023,72,65,0.9028,1,Horizonte,Privada
A00006,2024,76,71,0.9342,1,Horizonte,Privada
A00007,2024,49,41,0.8367,0,Maracanaú,Não informado
A00008,2024,50,44,0.88,0,Itapipoca,Pública
A00008,2025,70,58,0.8286,1,Itapipoca,Pública
A00009,2021,76,65,0.8553,0,Fortaleza,Privada
A00010,2022,96,85,0.8854,0,Sobral,Privada
A00011,2021,55,48,0.8727,0,Aquiraz,Não informado
A00011,2022,62,50,0.8065,0,Aquiraz,Não informado
A00012,2023,77,64,0.8312,0,Eusébio,Pública
A00012,2024,71,65,0.9155,0,Eusébio,Pública
A00013,2021,63,52,0.8254,0,Maracanaú,Pública
A00014,2023,44,40,0.9091,0,Juazeiro do Norte,Privada
A00015,2022,73,67,0.9178,0,Fortaleza,Não informado
A00016,2022,61,52,0.8525,0,Fortaleza,Federal
A00016,2023,70,58,0.8286,1,Fortaleza,Federal
A00017,2025,70,60,0.8571,1,Juazeiro do Norte,Pública
A00018,2022,92,87,0.9457,0,Fortaleza,Não informado
A00019,2023,80,70,0.875,1,Fortaleza,Não informado
A00020,2024,70,64,0.9143,0,Fortaleza,Não informado
A00021,2025,58,51,0.8793,1,Aquiraz,Pública
A00022,2022,77,61,0.7922,1,Fortaleza,Privada
A00022,2023,80,71,0.8875,0,Fortaleza,Privada
A00023,2023,62,58,0.9355,1,Juazeiro do Norte,Não informado
A00023,2024,48,43,0.8958,1,Juazeiro do Norte,Não informado
A00024,2021,62,57,0.9194,1,Maracanaú,Federal
A00024,2022,87,77,0.8851,0,Maracanaú,Federal
A00025,2021,69,57,0.8261,1,Crato,Pública
A00025,2022,67,65,0.9701,1,Crato,Pública
A00026,2021,50,45,0.9,1,Juazeiro do Norte,Privada
A00026,2022,71,64,0.9014,1,Juazeiro do Norte,Privada
A00027,2024,66,59,0.8939,1,Pacatuba,Pública
A00028,2023,57,51,0.8947,0,Pacatuba,Pública
A00029,2024,45,42,0.9333,1,Eusébio,Pública
A00030,2025,83,71,0.8554,0,Fortaleza,Privada
A00031,2022,67,58,0.8657,0,Crato,Privada
A00031,2023,83,76,0.9157,1,Crato,Privada
A00031,2024,52,46,0.8846,1,Crato,Privada
A00032,2024,81,70,0.8642,0,Sobral,Não informado
A00033,2021,69,59,0.8551,0,Maracanaú,Não informado
A00033,2022,56,48,0.8571,0,Maracanaú,Não informado
A00034,2023,78,65,0.8333,1,Juazeiro do Norte,Federal
A00035,2022,78,65,0.8333,1,Eusébio,Federal
A00036,2023,93,78,0.8387,0,Sobral,Pública
A00037,2024,78,65,0.8333,0,Fortaleza,Federal
A00037,2025,97,88,0.9072,1,Fortaleza,Federal
A00038,2022,71,58,0.8169,0,Sobral,Pública
A00038,2023,81,73,0.9012,0,Sobral,Pública
A00039,2023,52,49,0.9423,0,Fortaleza,Pública
A00040,2021,71,64,0.9014,0,Pacatuba,Pública
A00041,2023,60,49,0.8167,0,Horizonte,Federal
A00042,2023,92,83,0.9022,0,Eusébio,Pública
A00043,2022,95,85,0.8947,0,Pacatuba,Pública
A00044,2024,79,63,0.7975,0,Maracanaú,Pública
A00045,2023,80,70,0.875,0,Itapipoca,Não informado
A00045,2024,85,74,0.8706,1,Itapipoca,Não informado
A00046,2021,43,41,0.9535,1,Fortaleza,Pública
A00047,2025,86,78,0.907,1,Sobral,Pública
A00048,2022,94,81,0.8617,1,Pacatuba,Pública
A00049,2025,97,86,0.8866,1,Horizonte,Privada
A00050,2021,73,69,0.9452,0,Itapipoca,Privada
A00051,2024,79,70,0.8861,1,Eusébio,Privada
A00051,2025,96,85,0.8854,1,Eusébio,Privada
A00052,2023,58,50,0.8621,0,Maracanaú,Privada
A00053,2021,68,57,0.8382,0,Itapipoca,Federal
