ano,materia,total_matriculas,matriculas_concluidas,taxa_conclusao,nota_media_simulados
2021,Biologia,109,73,0.6697,61.03763440860215
2021,Filosofia,111,87,0.7838,61.03076923076923
2021,Física,112,64,0.5714,60.98711656441718
2021,Geografia,109,72,0.6606,60.974925373134326
2021,História,103,78,0.7573,61.893785310734465
2021,Inglês,112,72,0.6429,63.121904761904766
2021,Matemática,139,94,0.6763,60.80494505494506
2021,Português,138,100,0.7246,60.16254180602006
2021,Química,109,80,0.7339,61.07477203647416
2021,Redação,140,99,0.7071,
2021,Sociologia,108,76,0.7037,63.49820895522389
2022,Biologia,132,95,0.7197,61.16607142857143
2022,Filosofia,136,93,0.6838,61.268055555555556
2022,Física,132,98,0.7424,60.971325301204814
2022,Geografia,131,91,0.6947,60.44466501240695
2022,História,130,96,0.7385,60.805851063829785
2022,Inglês,137,95,0.6934,61.268874172185434
2022,Matemática,171,131,0.7661,61.194084507042255
2022,Português,170,110,0.6471,62.30028653295129
2022,Química,125,79,0.632,59.677624309392264
2022,Redação,170,127,0.7471,
2022,Sociologia,138,95,0.6884,59.360646900269536
2023,Biologia,167,115,0.6886,61.497263681592045
2023,Filosofia,159,109,0.6855,61.48250728862974
2023,Física,168,111,0.6607,61.18921832884097
2023,Geografia,155,107,0.6903,60.36808510638298
2023,História,177,125,0.7062,63.35375722543353
2023,Inglês,183,115,0.6284,61.39169139465876
2023,Matemática,220,157,0.7136,61.817507418397625
2023,Português,219,151,0.6895,60.85162241887906
2023,Química,168,127,0.756,62.0406162464986
2023,Redação,219,149,0.6804,
2023,Sociologia,166,116,0.6988,61.325139664804475
2024,Biologia,207,156,0.7536,60.94369230769231
2024,Filosofia,212,153,0.7217,63.14971590909091
2024,Física,213,141,0.662,60.99696969696969
2024,Geografia,191,140,0.733,60.8064308681672
2024,História,190,143,0.7526,60.90728291316527
2024,Inglês,212,157,0.7406,59.831738035264486
2024,Matemática,264,184,0.697,61.22237960339943
2024,Português,264,174,0.6591,63.01037974683544
2024,Química,198,141,0.7121,61.56733668341708
2024,Redação,265,175,0.6604,
2024,Sociologia,202,137,0.6782,59.86822157434402
2025,Biologia,190,133,0.7,61.03975155279503
2025,Filosofia,171,115,0.6725,60.69626436781609
2025,Física,181,131,0.7238,60.70305555555555
2025,Geografia,197,135,0.6853,61.162184873949585
2025,História,184,141,0.7663,60.651026392961874
2025,Inglês,185,128,0.6919,61.28444444444444
2025,Matemática,233,164,0.7039,59.633105022831046
2025,Português,235,173,0.7362,63.13324607329843
2025,Química,175,115,0.6571,62.68526011560693
2025,Redação,233,157,0.6738,
2025,Sociologia,187,127,0.6791,60.23870967741936
