resultado_id,simulado_id,aluno_id,ano,status_realizacao,nota,acertos,tempo_finalizacao_min,inicio_simulado,dispositivo,tentativas,unidade_aplicacao
R00000001,S20210001,A00775,2021,Finalizado,92.6,55.0,319.0,2021-05-28 12:00:00,Desktop,1.0,Online
R00000002,S20210001,A00530,2021,Finalizado,78.9,49.0,200.0,2021-10-10 10:00:00,Papel,1.0,Online
R00000003,S20210001,A00227,2021,Ausente,,,,2021-04-13 13:30:00,Papel,3.0,Online
R00000004,S20210001,A00521,2021,Ausente,,,,2021-06-20 13:15:00,Celular,1.0,Centro
R00000005,S20210001,A00078,2021,Finalizado,84.3,52.0,162.0,2021-10-08 11:00:00,Desktop,1.0,Aldeota
R00000006,S20210001,A00325,2021,Finalizado,70.7,44.0,247.0,2021-10-18 10:00:00,Celular,1.0,Online
R00000007,S20210001,A00040,2021,Incompleto,92.2,56.0,190.0,2021-06-24 00:00:00,Celular,3.0,Aldeota
R00000008,S20210001,A00627,2021,Incompleto,73.9,44.0,303.0,2021-10-22 08:30:00,Papel,1.0,Sul
R00000009,S20210001,A00536,2021,Finalizado,95.8,55.0,258.0,2021-04-24 18:45:00,Desktop,1.0,Centro
R00000010,S20210001,A00534,2021,Finalizado,63.8,38.0,267.0,2021-04-10 16:15:00,Celular,1.0,Aldeota
R00000011,S20210001,A00026,2021,Finalizado,47.7,27.0,241.0,2021-07-13 11:15:00,Desktop,1.0,Sul
R00000012,S20210001,A00011,2021,Finalizado,55.0,30.0,180.0,2021-10-23 00:00:00,Não informado,1.0,Aldeota
R00000013,S20210001,A00765,2021,Finalizado,32.7,22.0,186.0,2021-11-02 00:00:00,Tablet,1.0,Não informado
R00000014,S20210001,A00295,2021,Ausente,,,,2021-05-24 17:00:00,Desktop,3.0,Aldeota
R00000015,S20210001,A00033,2021,Finalizado,83.1,51.0,230.0,2021-05-11 12:00:00,Desktop,1.0,Online
R00000016,S20210001,A00115,2021,Finalizado,39.3,22.0,113.0,2021-08-07 15:30:00,Tablet,2.0,Online
R00000017,S20210001,A00216,2021,Incompleto,44.6,28.0,97.0,2021-11-08 13:00:00,Celular,2.0,Sul
R00000018,S20210001,A00294,2021,Finalizado,26.0,17.0,261.0,2021-09-11 15:45:00,Desktop,1.0,Online
R00000019,S20210001,A00112,2021,Finalizado,37.7,20.0,212.0,2021-08-07 15:45:00,Tablet,1.0,Online
R00000020,S20210001,A00520,2021,Finalizado,84.1,52.0,230.0,2021-05-22 10:45:00,Papel,1.0,Não informado
R00000021,S20210001,A00376,2021,Não informado,80.3,46.0,198.0,2021-10-25 16:30:00,Não informado,1.0,Aldeota
R00000022,S20210001,A00137,2021,Finalizado,84.7,49.0,124.0,2021-09-13 11:00:00,Desktop,1.0,Centro
R00000023,S20210001,A00073,2021,Finalizado,30.8,19.0,276.0,2021-07-11 18:45:00,Não informado,1.0,Aldeota
R00000024,S20210001,A00120,2021,Finalizado,30.9,17.0,165.0,2021-11-23 16:30:00,Não informado,1.0,Centro
R00000025,S20210001,A00346,2021,Finalizado,65.3,39.0,273.0,2021-04-01 10:00:00,Não informado,2.0,Online
R00000026,S20210001,A00563,2021,Finalizado,40.7,21.0,189.0,2021-11-21 18:00:00,Desktop,1.0,Aldeota
R00000027,S20210001,A00798,2021,Ausente,,,,2021-07-06 14:30:00,Celular,3.0,Online
R00000028,S20210001,A00354,2021,Finalizado,42.0,25.0,181.0,2021-06-08 10:45:00,Desktop,1.0,Não informado
R00000029,S20210001,A00742,2021,Finalizado,72.5,44.0,213.0,2021-07-27 17:15:00,Não informado,3.0,Online
R00000030,S20210001,A00009,2021,Não informado,52.7,31.0,248.0,2021-10-07 09:15:00,Tablet,1.0,Centro
